Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.30104260698261E-18,0,0.0524980547483315,0,0,0,7.44616085557537,0.012440992728397,2.35693289558265E-19,2.81450788395657E-20,0.012440992728397,-2.09398391915433E-24,0.0112006750044298,0,0,0,0,0,0,package://rotary_pendulum_urdf/meshes/base_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rotary_pendulum_urdf/meshes/base_link.STL,,Base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
cart_link,-1.43114686768087E-17,-0.00651554402554576,0.0210483391997777,0,0,0,0.236355968703572,6.28220390509056E-05,1.9860245584519E-20,-1.96021911330094E-21,2.20841827611899E-05,-6.16554118428692E-07,6.39125771009001E-05,0,0,0,0,0,0,package://rotary_pendulum_urdf/meshes/cart_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rotary_pendulum_urdf/meshes/cart_link.STL,,Rjoint-1;cart-1,Coordinate System2,Axis2,Revolute_1,continuous,0,0,0.105,0,0,0,base_link,0,0,0,,,,,,,,,,,,
pendulum,0.000581973331558416,-0.0408159674611681,-0.049171999554707,0,0,0,0.040285448426677,4.68436323847433E-05,-3.65997993841831E-10,5.36257833722173E-07,4.57298825428693E-05,3.10174779514858E-08,1.54136862628222E-06,0,0,0,0,0,0,package://rotary_pendulum_urdf/meshes/pendulum.STL,1,0.125490196078431,0.258823529411765,1,0,0,0,0,0,0,package://rotary_pendulum_urdf/meshes/pendulum.STL,,pendulum-1;arm-1,Coordinate System3,Axis3,Revolute_2,continuous,0,-0.03211,0.020919,0,0,0,cart_link,0,0,0,,,,,,,,,,,,
